numberOfQuestion;numberOfCategory;question;answer1;answer2;answer3;answer4;correctAnswer;score
1;1;Столица Франции?;Берлин;Мадрид;Париж;Рим;3;100
2;1;Сколько ног у паука?;6;8;10;12;2;100
3;1;Сколько планет в Солнечной системе?;7;8;9;10;2;100
4;1;Какой океан самый большой?;Атлантический;Индийский;Тихий;Северный Ледовитый;3;100
5;1;Сколько дней в году?;365;360;366;364;1;100
6;1;Какая страна самая большая по площади?;Канада;Россия;США;Китай;2;100
7;1;Сколько хромосом у человека?;44;46;48;42;2;100
8;1;Какая река самая длинная?;Нил;Амазонка;Янцзы;Миссисипи;2;100
9;1;Сколько минут в часе?;50;60;70;100;2;100
10;1;Какая планета ближе всего к Солнцу?;Земля;Венера;Меркурий;Марс;3;100
11;1;Сколько костей у взрослого человека?;206;201;210;180;1;100
12;1;Кто написал «Войну и мир»?;Пушкин;Толстой;Достоевский;Чехов;2;100
13;1;Какой газ мы вдыхаем?;Кислород;Азот;Углекислый газ;Водород;1;100
14;1;Сколько секунд в минуте?;50;60;70;100;2;100
15;1;Какая планета называется красной?;Венера;Марс;Юпитер;Сатурн;2;100
16;1;Сколько цветов в радуге?;5;6;7;8;3;100
17;1;Какой континент самый большой?;Европа;Азия;Африка;Америка;2;100
18;1;Сколько сторон у треугольника?;3;4;5;6;1;100
19;1;Какая столица Германии?;Вена;Берлин;Брюссель;Прага;2;100
20;1;Сколько океанов на Земле?;3;4;5;6;3;100
21;2;Кто открыл закон всемирного тяготения?;Эйнштейн;Ньютон;Галилей;Тесла;2;200
22;2;В каком году началась Вторая мировая война?;1935;1939;1941;1945;2;200
23;2;Сколько зубов у взрослого человека?;28;30;32;34;3;200
24;2;Какой металл жидкий при комнатной температуре?;Железо;Ртуть;Золото;Медь;2;200
25;2;Самый глубокий океанический желоб?;Марианский;Перуанский;Японский;Атлантический;1;200
26;2;Сколько континентов на Земле?;5;6;7;8;3;200
27;2;Кровь переносит кислород с помощью?;Лейкоцитов;Гемоглобина;Плазмы;Тромбоцитов;2;200
28;2;Автор таблицы Менделеева?;Менделеев;Ломоносов;Пастер;Дарвин;1;200
29;2;Столица Японии?;Осака;Токио;Киото;Нагоя;2;200
30;2;Самая большая пустыня мира?;Сахара;Гоби;Калахари;Атакама;1;200
31;2;Сколько периодов в хоккее?;2;3;4;5;2;200
32;2;Орган дыхания человека?;Печень;Лёгкие;Сердце;Почки;2;200
33;2;Самый быстрый человек в мире (100 м)?;Болт;Пауэлл;Гэтлин;Грин;1;200
34;2;Какая кровь является универсальной донорской?;A;B;AB;O;4;200
35;2;Сколько камер в сердце человека?;2;3;4;5;3;200
36;2;Кто написал «Гамлета»?;Шекспир;Гёте;Пушкин;Данте;1;200
37;2;Какой элемент имеет символ O?;Оксид;Кислород;Азот;Углерод;2;200
38;2;Сколько минут в футбольном тайме?;40;45;50;60;2;200
39;2;Какая страна имеет форму сапога?;Греция;Италия;Испания;Турция;2;200
40;2;Как называется ближайшая к Земле звезда?;Сириус;Солнце;Проксима;Вега;2;200
41;3;Какой орган производит инсулин?;Печень;Поджелудочная железа;Желудок;Селезёнка;2;300
42;3;Кто написал «Преступление и наказание»?;Толстой;Достоевский;Чехов;Гоголь;2;300
43;3;Скорость света примерно равна?;300 000 км/с;150 000 км/с;1 000 000 км/с;30 000 км/с;1;300
44;3;Самая длинная кость человека?;Лучевая;Бедренная;Плечевая;Большеберцовая;2;300
45;3;В каком году распался СССР?;1985;1991;1993;2000;2;300
46;3;Какой газ самый распространённый в атмосфере?;Кислород;Азот;Углекислый газ;Аргон;2;300
47;3;Кто открыл Америку?;Магеллан;Колумб;Кук;Веспуччи;2;300
48;3;Сколько сторон у шестиугольника?;5;6;7;8;2;300
49;3;Какая планета самая большая?;Земля;Юпитер;Сатурн;Нептун;2;300
50;3;Сколько игроков в футбольной команде?;10;11;12;9;2;300
51;3;Что изучает биология?;Планеты;Живые организмы;Химические реакции;Физику;2;300
52;3;Кто написал «Евгения Онегина»?;Пушкин;Лермонтов;Толстой;Гоголь;1;300
53;3;Самый прочный природный материал?;Железо;Алмаз;Графит;Соль;2;300
54;3;Какая страна выиграла ЧМ 2018?;Германия;Франция;Бразилия;Испания;2;300
55;3;Сколько костей в черепе человека примерно?;20;22;24;26;2;300
56;3;Какой процесс превращает воду в пар?;Конденсация;Испарение;Плавление;Кристаллизация;2;300
57;3;Кто создал теорию относительности?;Ньютон;Эйнштейн;Галилей;Максвелл;2;300
58;3;Самая высокая гора мира?;К2;Эверест;Канченджанга;Монблан;2;300
59;3;Сколько минут в сутках?;1400;1440;1500;1600;2;300
60;3;Какой океан между Америкой и Европой?;Тихий;Атлантический;Индийский;Северный;2;300
61;4;Какой элемент имеет атомный номер 1?;Гелий;Водород;Кислород;Азот;2;500
62;4;Кто сформулировал закон всемирного тяготения?;Ньютон;Эйнштейн;Галилей;Кеплер;1;500
63;4;Как называется процесс деления клеток?;Фотосинтез;Митоз;Гидролиз;Окисление;2;500
64;4;В каком году началась Первая мировая война?;1912;1914;1916;1918;2;500
65;4;Какой газ используется в фотосинтезе?;Кислород;Углекислый газ;Азот;Метан;2;500
66;4;Сколько пар ребер у человека?;10;11;12;13;3;500
67;4;Какая страна имеет самую большую площадь в Африке?;Египет;Алжир;Судан;Нигерия;2;500
68;4;Что измеряется в амперах?;Напряжение;Сила тока;Сопротивление;Мощность;2;500
69;4;Кто написал «Илиаду»?;Гомер;Вергилий;Софокл;Платон;1;500
70;4;Какой орган фильтрует кровь?;Сердце;Почки;Лёгкие;Печень;2;500
71;4;Сколько градусов в прямом угле?;45;90;180;360;2;500
72;4;Какая планета имеет кольца?;Марс;Юпитер;Сатурн;Венера;3;500
73;4;Как называется наука о грибах?;Ботаника;Микология;Зоология;Экология;2;500
74;4;Кто открыл пенициллин?;Пастер;Флеминг;Кох;Мендель;2;500
75;4;Сколько хромосом у человека?;44;46;48;42;2;500
76;4;Какой металл легче воды?;Железо;Литий;Медь;Свинец;2;500
77;4;Какая река протекает через Париж?;Темза;Сена;Рейн;Дунай;2;500
78;4;Сколько океанов на Земле сейчас официально?;3;4;5;6;3;500
79;4;Что изучает астрономия?;Животных;Космос;Химию;Землю;2;500
80;4;Какой витамин вырабатывается на солнце?;A;B;C;D;4;500
81;5;Какой элемент самый распространённый во Вселенной?;Кислород;Водород;Углерод;Гелий;2;1000
82;5;Как называется единица измерения давления?;Ватт;Паскаль;Джоуль;Ньютон;2;1000
83;5;Кто предложил эволюционную теорию?;Дарвин;Ламарк;Мендель;Линней;1;1000
84;5;Какая кровь считается универсальным реципиентом?;O;A;AB;B;3;1000
85;5;Сколько костей в кисти руки?;20;27;30;25;2;1000
86;5;Что такое pH 7?;Кислота;Щёлочь;Нейтральность;Газ;3;1000
87;5;Какой город был столицей Римской империи?;Афины;Рим;Константинополь;Александрия;2;1000
88;5;Сколько процентов воды в организме человека примерно?;30%;50%;60%;80%;3;1000
89;5;Какой элемент обозначается Fe?;Фтор;Железо;Фосфор;Франций;2;1000
90;5;Что изучает генетика?;Галактики;Наследственность;Горы;Погоду;2;1000
91;5;Кто написал «Фауст»?;Шиллер;Гёте;Кафка;Байрон;2;1000
92;5;Сколько планет-гигантов в Солнечной системе?;2;3;4;5;3;1000
93;5;Какой процесс выделяет энергию в клетке?;Фотосинтез;Дыхание;Испарение;Диффузия;2;1000
94;5;Как называется столица Канады?;Торонто;Оттава;Монреаль;Ванкувер;2;1000
95;5;Что измеряется в герцах?;Сила;Частота;Масса;Давление;2;1000
96;5;Кто открыл структуру ДНК?;Дарвин;Уотсон и Крик;Мендель;Флеминг;2;1000
97;5;Сколько позвонков у человека примерно?;22;33;40;50;2;1000
98;5;Какой океан самый холодный?;Индийский;Северный Ледовитый;Атлантический;Тихий;2;1000
99;5;Какая страна является родиной Олимпийских игр?;Италия;Греция;Египет;Франция;2;1000
100;5;Что такое фотосинтез?;Разрушение клеток;Образование пищи у растений;Дыхание;Рост животных;2;1000
101;6;Какая частица имеет отрицательный заряд?;Протон;Нейтрон;Электрон;Фотон;3;3000
102;6;Какой закон описывает связь силы и ускорения?;Ома;Ньютона;Архимеда;Паскаля;2;3000
103;6;Кто разработал периодическую таблицу?;Менделеев;Дальтон;Лавуазье;Бойль;1;3000
104;6;Как называется процесс распада радиоактивных элементов?;Диффузия;Диссоциация;Радиоактивный распад;Конденсация;3;3000
105;6;Сколько камер имеет сердце рыбы?;2;3;4;5;1;3000
106;6;Какой элемент необходим для дыхания клеток?;Азот;Кислород;Водород;Углерод;2;3000
107;6;Какая скорость звука в воздухе примерно?;340 м/с;1000 м/с;500 м/с;200 м/с;1;3000
108;6;Что изучает термодинамика?;Звёзды;Тепло и энергию;Животных;Клетки;2;3000
109;6;Какой океан самый глубокий в среднем?;Атлантический;Тихий;Индийский;Северный;2;3000
110;6;Кто сформулировал закон сохранения массы?;Ломоносов;Дарвин;Ньютон;Эйнштейн;1;3000
111;6;Как называется самая маленькая единица жизни?;Орган;Клетка;Ткань;Система;2;3000
112;6;Какой элемент является основой органической химии?;Кислород;Углерод;Азот;Водород;2;3000
113;6;Сколько градусов наклон оси Земли?;15°;23,5°;30°;45°;2;3000
114;6;Какой орган отвечает за зрение?;Ухо;Глаз;Нос;Язык;2;3000
115;6;Кто открыл закон Архимеда?;Архимед;Пифагор;Ньютон;Галилей;1;3000
116;6;Как называется процесс испарения с поверхности листьев?;Фотосинтез;Транспирация;Осмос;Диффузия;2;3000
117;6;Сколько пар черепных нервов у человека?;10;12;14;16;2;3000
118;6;Какой металл самый лёгкий?;Литий;Натрий;Алюминий;Магний;1;3000
119;6;Какой континент самый засушливый?;Африка;Австралия;Азия;Южная Америка;2;3000
120;6;Что измеряется в Ньютонах?;Масса;Сила;Энергия;Давление;2;3000
121;7;Какая органелла отвечает за синтез белка?;Лизосома;Рибосома;Ядро;Митохондрия;2;5000
122;7;Какой закон связывает давление и объем газа при постоянной температуре?;Закон Ома;Закон Бойля-Мариотта;Закон Ньютона;Закон Архимеда;2;5000
123;7;Какой элемент имеет атомный номер 8?;Азот;Кислород;Углерод;Фтор;2;5000
124;7;Кто открыл закон электромагнитной индукции?;Фарадей;Ампер;Ом;Герц;1;5000
125;7;Сколько костей в позвоночнике человека?;24;33;40;28;2;5000
126;7;Какой витамин участвует в свёртывании крови?;A;B;C;K;4;5000
127;7;Какой океан самый солёный в среднем?;Тихий;Атлантический;Индийский;Северный Ледовитый;2;5000
