numberOfQuestion;numberOfCategory;question;answer1;answer2;answer3;answer4;correctAnswer;score
1;1;Care este capitala Franței?;Berlin;Madrid;Paris;Roma;3;100
2;1;Câte picioare are un păianjen?;6;8;10;12;2;100
3;1;Câte planete sunt în Sistemul Solar?;7;8;9;10;2;100
4;1;Care este cel mai mare ocean?;Atlantic;Indian;Pacific;Arctic;3;100
5;1;Câte zile are un an?;365;360;366;364;1;100
6;1;Care este cea mai mare țară după suprafață?;Canada;Rusia;SUA;China;2;100
7;1;Câți cromozomi are omul?;44;46;48;42;2;100
8;1;Care este cel mai lung fluviu?;Nil;Amazon;Yangtze;Mississippi;2;100
9;1;Câte minute sunt într-o oră?;50;60;70;100;2;100
10;1;Care planetă este cea mai apropiată de Soare?;Pământ;Venus;Mercur;Marte;3;100
11;1;Câte oase are un adult?;206;201;210;180;1;100
12;1;Cine a scris „Război și pace”?;Pușkin;Tolstoi;Dostoievski;Cehov;2;100
13;1;Ce gaz respirăm?;Oxigen;Azot;Dioxid de carbon;Hidrogen;1;100
14;1;Câte secunde sunt într-un minut?;50;60;70;100;2;100
15;1;Care planetă este numită Planeta Roșie?;Venus;Marte;Jupiter;Saturn;2;100
16;1;Câte culori are curcubeul?;5;6;7;8;3;100
17;1;Care este cel mai mare continent?;Europa;Asia;Africa;America;2;100
18;1;Câte laturi are un triunghi?;3;4;5;6;1;100
19;1;Care este capitala Germaniei?;Viena;Berlin;Bruxelles;Praga;2;100
20;1;Câte oceane sunt pe Pământ?;3;4;5;6;3;100
21;2;Cine a descoperit legea gravitației universale?;Einstein;Newton;Galilei;Tesla;2;200
22;2;În ce an a început Al Doilea Război Mondial?;1935;1939;1941;1945;2;200
23;2;Câți dinți are un adult?;28;30;32;34;3;200
24;2;Ce metal este lichid la temperatura camerei?;Fier;Mercur;Au;Cupru;2;200
25;2;Care este cea mai adâncă fosă oceanică?;Fosa Marianelor;Fosa Peru;Fosa Japoniei;Fosa Atlantică;1;200
26;2;Câte continente sunt pe Pământ?;5;6;7;8;3;200
27;2;Ce transportă oxigenul în sânge?;Leucocitele;Hemoglobina;Plasma;Trombocitele;2;200
28;2;Cine este autorul tabelului periodic al elementelor?;Mendeleev;Lomonosov;Pasteur;Darwin;1;200
29;2;Care este capitala Japoniei?;Osaka;Tokyo;Kyoto;Nagoya;2;200
30;2;Care este cel mai mare deșert din lume?;Sahara;Gobi;Kalahari;Atacama;1;200
31;2;Câte reprize sunt într-un meci de hochei?;2;3;4;5;2;200
32;2;Care este organul principal al respirației?;Ficatul;Plămânii;Inima;Rinichii;2;200
33;2;Cel mai rapid om din lume la 100 m?;Bolt;Powell;Gatlin;Greene;1;200
34;2;Care grupă de sânge este donator universal?;A;B;AB;O;4;200
35;2;Câte camere are inima umană?;2;3;4;5;3;200
36;2;Cine a scris „Hamlet”?;Shakespeare;Goethe;Pușkin;Dante;1;200
37;2;Ce element are simbolul O?;Oxid;Oxigen;Azot;Carbon;2;200
38;2;Câte minute durează o repriză de fotbal?;40;45;50;60;2;200
39;2;Care țară are forma unei cizme?;Grecia;Italia;Spania;Turcia;2;200
40;2;Care este cea mai apropiată stea de Pământ?;Sirius;Soarele;Proxima;Vega;2;200
41;3;Ce organ produce insulina?;Ficatul;Pancreasul;Stomacul;Splina;2;300
42;3;Cine a scris „Crimă și pedeapsă”?;Tolstoi;Dostoievski;Cehov;Gogol;2;300
43;3;Viteza luminii este aproximativ?;300 000 km/s;150 000 km/s;1 000 000 km/s;30 000 km/s;1;300
44;3;Care este cel mai lung os din corpul uman?;Radius;Femur;Humerus;Tibie;2;300
45;3;În ce an s-a destrămat URSS?;1985;1991;1993;2000;2;300
46;3;Care este cel mai răspândit gaz din atmosferă?;Oxigen;Azot;Dioxid de carbon;Argon;2;300
47;3;Cine a descoperit America?;Magellan;Columb;Cook;Vespucci;2;300
48;3;Câte laturi are un hexagon?;5;6;7;8;2;300
49;3;Care este cea mai mare planetă?;Pământ;Jupiter;Saturn;Neptun;2;300
50;3;Câți jucători are o echipă de fotbal?;10;11;12;9;2;300
51;3;Ce studiază biologia?;Planetele;Organismele vii;Reacțiile chimice;Fizica;2;300
52;3;Cine a scris „Evgheni Oneghin”?;Pușkin;Lermontov;Tolstoi;Gogol;1;300
53;3;Care este cel mai dur material natural?;Fier;Diamant;Grafit;Sare;2;300
54;3;Ce țară a câștigat Campionatul Mondial de Fotbal din 2018?;Germania;Franța;Brazilia;Spania;2;300
55;3;Câte oase are aproximativ craniul uman?;20;22;24;26;2;300
56;3;Ce proces transformă apa în vapori?;Condensare;Evaporare;Topire;Cristalizare;2;300
57;3;Cine a formulat teoria relativității?;Newton;Einstein;Galilei;Maxwell;2;300
58;3;Care este cel mai înalt munte din lume?;K2;Everest;Kangchenjunga;Mont Blanc;2;300
59;3;Câte minute sunt într-o zi?;1400;1440;1500;1600;2;300
60;3;Care ocean se află între America și Europa?;Pacific;Atlantic;Indian;Arctic;2;300
61;4;Ce element are numărul atomic 1?;Heliu;Hidrogen;Oxigen;Azot;2;500
62;4;Cine a formulat legea gravitației universale?;Newton;Einstein;Galilei;Kepler;1;500
63;4;Cum se numește procesul de diviziune celulară?;Fotosinteză;Mitoză;Hidroliză;Oxidare;2;500
64;4;În ce an a început Primul Război Mondial?;1912;1914;1916;1918;2;500
65;4;Ce gaz este utilizat în fotosinteză?;Oxigen;Dioxid de carbon;Azot;Metan;2;500
66;4;Câte perechi de coaste are omul?;10;11;12;13;3;500
67;4;Care este cea mai mare țară din Africa după suprafață?;Egipt;Algeria;Sudan;Nigeria;2;500
68;4;Ce se măsoară în amperi?;Tensiunea;Curentul electric;Rezistența;Puterea;2;500
69;4;Cine a scris „Iliada”?;Homer;Virgiliu;Sofocle;Platon;1;500
70;4;Ce organ filtrează sângele?;Inima;Rinichii;Plămânii;Ficatul;2;500
71;4;Câte grade are un unghi drept?;45;90;180;360;2;500
72;4;Care planetă are inele?;Marte;Jupiter;Saturn;Venus;3;500
73;4;Cum se numește știința care studiază ciupercile?;Botanică;Micologie;Zoologie;Ecologie;2;500
74;4;Cine a descoperit penicilina?;Pasteur;Fleming;Koch;Mendel;2;500
75;4;Câți cromozomi are omul?;44;46;48;42;2;500
76;4;Ce metal este mai ușor decât apa?;Fier;Litiu;Cupru;Plumb;2;500
77;4;Ce râu traversează Parisul?;Tamisa;Sena;Rin;Dunărea;2;500
78;4;Câte oceane sunt recunoscute oficial pe Pământ?;3;4;5;6;3;500
79;4;Ce studiază astronomia?;Animalele;Cosmosul;Chimia;Pământul;2;500
80;4;Ce vitamină este sintetizată sub acțiunea soarelui?;A;B;C;D;4;500
81;5;Care este cel mai răspândit element din Univers?;Oxigen;Hidrogen;Carbon;Heliu;2;1000
82;5;Cum se numește unitatea de măsură a presiunii?;Watt;Pascal;Joule;Newton;2;1000
83;5;Cine a propus teoria evoluției?;Darwin;Lamarck;Mendel;Linnaeus;1;1000
84;5;Care grupă de sânge este considerată receptor universal?;O;A;AB;B;3;1000
85;5;Câte oase are mâna umană?;20;27;30;25;2;1000
86;5;Ce înseamnă un pH de 7?;Acid;Bază;Neutru;Gaz;3;1000
87;5;Care oraș a fost capitala Imperiului Roman?;Atena;Roma;Constantinopol;Alexandria;2;1000
88;5;Ce procent din corpul uman este apă, aproximativ?;30%;50%;60%;80%;3;1000
89;5;Ce element are simbolul Fe?;Fluor;Fier;Fosfor;Franciu;2;1000
90;5;Ce studiază genetica?;Galaxiile;Ereditatea;Munții;Vremea;2;1000
91;5;Cine a scris „Faust”?;Schiller;Goethe;Kafka;Byron;2;1000
92;5;Câte planete gigant există în Sistemul Solar?;2;3;4;5;3;1000
93;5;Ce proces eliberează energie în celulă?;Fotosinteză;Respirația celulară;Evaporarea;Difuzia;2;1000
94;5;Care este capitala Canadei?;Toronto;Ottawa;Montreal;Vancouver;2;1000
95;5;Ce se măsoară în herți?;Forța;Frecvența;Masa;Presiunea;2;1000
96;5;Cine a descoperit structura ADN-ului?;Darwin;Watson și Crick;Mendel;Fleming;2;1000
97;5;Câte vertebre are aproximativ omul?;22;33;40;50;2;1000
98;5;Care este cel mai rece ocean?;Indian;Arctic;Atlantic;Pacific;2;1000
99;5;Care țară este leagănul Jocurilor Olimpice?;Italia;Grecia;Egipt;Franța;2;1000
100;5;Ce este fotosinteza?;Distrugerea celulelor;Producerea hranei de către plante;Respirația;Creșterea animalelor;2;1000
101;6;Care particulă are sarcină negativă?;Proton;Neutron;Electron;Foton;3;3000
102;6;Care lege descrie relația dintre forță și accelerație?;Legea lui Ohm;Legea a doua a lui Newton;Legea lui Arhimede;Legea lui Pascal;2;3000
103;6;Cine a elaborat tabelul periodic al elementelor?;Mendeleev;Dalton;Lavoisier;Boyle;1;3000
104;6;Cum se numește procesul de dezintegrare a elementelor radioactive?;Difuzie;Disociere;Dezintegrare radioactivă;Condensare;3;3000
105;6;Câte camere are inima unui pește?;2;3;4;5;1;3000
106;6;Ce element este necesar pentru respirația celulară?;Azot;Oxigen;Hidrogen;Carbon;2;3000
107;6;Care este viteza aproximativă a sunetului în aer?;340 m/s;1000 m/s;500 m/s;200 m/s;1;3000
108;6;Ce studiază termodinamica?;Stelele;Căldura și energia;Animalele;Celulele;2;3000
109;6;Care este cel mai adânc ocean în medie?;Atlantic;Pacific;Indian;Arctic;2;3000
110;6;Cine a formulat legea conservării masei?;Lomonosov;Darwin;Newton;Einstein;1;3000
111;6;Care este cea mai mică unitate a vieții?;Organ;Celulă;Țesut;Sistem;2;3000
112;6;Ce element stă la baza chimiei organice?;Oxigen;Carbon;Azot;Hidrogen;2;3000
113;6;Care este înclinarea axei Pământului?;15°;23,5°;30°;45°;2;3000
114;6;Ce organ este responsabil de vedere?;Ureche;Ochi;Nas;Limbă;2;3000
115;6;Cine a descoperit principiul lui Arhimede?;Arhimede;Pitagora;Newton;Galilei;1;3000
116;6;Cum se numește procesul de evaporare a apei de pe suprafața frunzelor?;Fotosinteză;Transpirație;Osmoză;Difuzie;2;3000
117;6;Câte perechi de nervi cranieni are omul?;10;12;14;16;2;3000
118;6;Care este cel mai ușor metal?;Litiu;Sodiu;Aluminiu;Magneziu;1;3000
119;6;Care este cel mai arid continent?;Africa;Australia;Asia;America de Sud;2;3000
120;6;Ce se măsoară în newtoni?;Masă;Forță;Energie;Presiune;2;3000
121;7;Ce organit celular este responsabil de sinteza proteinelor?;Lizozom;Ribozom;Nucleu;Mitocondrie;2;5000
122;7;Ce lege leagă presiunea și volumul unui gaz la temperatură constantă?;Legea lui Ohm;Legea Boyle-Mariotte;Legea lui Newton;Legea lui Arhimede;2;5000
123;7;Ce element are numărul atomic 8?;Azot;Oxigen;Carbon;Fluor;2;5000
124;7;Cine a descoperit inducția electromagnetică?;Faraday;Ampère;Ohm;Hertz;1;5000
125;7;Câte oase are coloana vertebrală umană?;24;33;40;28;2;5000
126;7;Ce vitamină participă la coagularea sângelui?;A;B;C;K;4;5000
127;7;Care este cel mai sărat ocean în medie?;Pacific;Atlantic;Indian;Arctic;2;5000
128;7;Cine a formulat legile eredității?;Mendel;Darwin;Pasteur;Linnaeus;1;5000
129;7;Cum se numește procesul prin care celula absoarbe apă?;Osmoză;Difuzie;Fotosinteză;Hidroliză;1;5000
130;7;Care particulă din nucleu nu are sarcină electrică?;Proton;Neutron;Electron;Ion;2;5000
131;7;Ce metal era folosit istoric în termometre?;Plumb;Mercur;Fier;Aluminiu;2;5000
132;7;Ce gaz se formează la arderea carbonului?;Oxigen;Monoxid de carbon;Dioxid de carbon;Azot;3;5000
133;7;Cine a descoperit legea inerției?;Newton;Galilei;Einstein;Kepler;2;5000
134;7;Care este unitatea de măsură a rezistenței electrice?;Amper;Ohm;Watt;Volt;2;5000
135;7;Câte camere are inima mamiferelor?;2;3;4;5;3;5000
136;7;Ce proces stă la baza respirației celulare?;Fotosinteză;Oxidarea glucozei;Evaporare;Difuzie;2;5000
137;7;Care este cel mai greu element stabil?;Uraniu;Plumb;Plutoniu;Mercur;2;5000
138;7;Ce se măsoară în pascali?;Forță;Presiune;Energie;Masă;2;5000
139;7;Care continent are cele mai multe țări?;Asia;Africa;Europa;America de Sud;2;5000
140;7;Ce proces transformă un lichid în gaz?;Condensare;Evaporare;Sublimare;Cristalizare;2;5000
141;8;Care lege descrie interacțiunea dintre sarcinile electrice?;Legea lui Ohm;Legea lui Coulomb;Legea lui Faraday;Legea lui Ampère;2;10000
