LevelNumber;guestionsNum,ber;Questions;Answer1;Answer2;Answer3;Answer4;Correct answer
1;1;What does an interface primarily define in Java?;A) Object state;B) Implementation;C) Contract of behavior ;D) Memory structure;3
1;2;What is NOT allowed in an interface ;A) static method;B) default method;C) constructor ;D) abstract method;3
1;3;Which statement about abstraction is correct?;A) It shows full implementation;B) It hides implementation details ;C) It removes classes;D) It replaces inheritance;2
1;4;Which principle allows code reuse in OOP?;A) Encapsulation;B) Polymorphism;C) Inheritance ;D) Compilation;3
2;5;A class implements an interface when:;A) It extends behavior;B) It provides implementation of all abstract methods ;C) It deletes methods;D) It copies code;2
2;6;Can an interface extend another interface?;A) No;B) Yes ;C) Only one method;D) Only abstract;2
2;7;What happens if a class does NOT implement interfa;A) Runs normally;B) Compile error ;C) Runtime error;D) Ignored;2
2;8;Interface variables are:;A) instance fields;B) mutable;C) public static final ;D) private;3
3;9;In multilevel inheritance, method resolution is:;A) random;B) bottom-up ;C) top-down;D) compile-time only;2
3;10;What is true about constructor inheritance?;A) inherited directly;B) not inherited ;C) overridden;D) static;2
3;11;super() is used for:;A) calling child constructor;B) calling parent constructor ;C) deleting parent;D) interface call;2
3;12;Which statement is correct?;A) Java supports multiple class inheritance;B) Java supports multiple interface inheritance ;C) Java supports no inheritance;D) Java supports only abstract inheritance;2
4;13;Runtime polymorphism depends on:;A) variable type;B) object type ;C) class name;D) interface name;2
4;14;Method overriding is resolved at:;A) compile time;B) runtime ;C) build time;D) JVM load time only;2
4;15;Method overloading is resolved at:;A) runtime;B) compile time ;C) execution;D) inheritance;2
4;16;Which statement is true?;A) Overloading requires inheritance;B) Overriding requires inheritance ;C) Both require interfaces only;D) Neither uses OOP;2
5;17;Objects in Java are stored in:;A) stack;B) heap ;C) CPU;D) registry;2
5;18;References are stored in:;A) heap;B) stack ;C) disk;D) JVM cache only;2
5;19;Garbage collector removes:;A) references;B) unused objects ;C) classes;D) methods;2
5;20;When does GC run?;A) manually always;B) automatically by JVM ;C) compile time;D) never;2
6;21;Encapsulation mainly helps:;A) faster execution;B) data protection ;C) compilation;D) memory increase;2
6;22;Why use getters/setters?;A) to expose private data safely ;B) to delete variables;C) to speed up code;D) to override methods;1
6;23;Best encapsulation practice:;A) public fields;B) private fields ;C) static fields;D) final fields only;2
6;24;Encapsulation breaks when:;A) using private fields;B) exposing direct fields publicly ;C) using methods;D) using classes;2
7;25;Abstract class vs Interface main difference:;A) both same;B) abstract can have state ;C) interface has constructors;D) abstract cannot have methods;2
7;26;Interface supports:;A) multiple inheritance ;B) single inheritance only;C) no inheritance;D) only static methods;1
7;27;Abstract class supports:;A) multiple inheritance;B) single inheritance ;C) none;D) interface only;2
7;28;When to use interface?;A) when behavior contract needed ;B) when storing data;C) when creating objects;D) when deleting code;1
8;29;static belongs to:;A) object;B) class ;C) interface only;D) constructor;2
8;30;final method:;A) can be overridden;B) cannot be overridden ;C) abstract;D) static only;2
8;31;final class:;A) can be extended;B) cannot be extended ;C) abstract always;D) interface;2
8;32;static method can be:;A) overridden;B) hidden ;C) deleted;D) abstract;2
9;33;default methods in interface:;A) must be abstract;B) have implementation ;C) static only;D) private always;2
9;34;static interface methods:;A) inherited;B) not inherited ;C) overridden;D) abstract;2
9;35;Interface methods are by default:;A) private;B) public abstract ;C) final;D) static only;2
9;36;Interface variables are:;A) mutable;B) constants ;C) objects;D) private fields;2
10;37;JVM chooses method based on:;A) variable type;B) object type ;C) class name;D) file name;2
10;38;Dynamic binding happens in:;A) compile time;B) runtime ;C) design time;D) memory allocation;2
1;39;Static binding applies to:;A) overriding;B) overloading ;C) inheritance;D) runtime polymorphism;2
10;40;Which is resolved at runtime?;A) overloading;B) overriding ;C) variables;D) imports;2
11;41;OOP is based on:;A) functions;B) objects ;C) files;D) loops;2
11;42;Best way to structure large program:;A) single class;B) multiple OOP layers ;C) global variables;D) scripts only;2
11;43;Loose coupling means:;A) classes strongly dependent;B) minimal dependency ;C) no classes;D) no objects;2
11;44;High cohesion means:;A) unrelated logic;B) focused responsibility ;C) random methods;D) no structure;2
12;45;Maven is used for:;A) UI design;B) dependency management ;C) runtime execution;D) memory allocation;2
12;46;Maven project structure includes:;A) random files;B) standardized folders ;C) single file only;D) no structure;2
12;47;pom.xml is used for:;A) code execution;B) project configuration ;C) debugging;D) class creation;2
12;48;Maven automatically handles:;A) inheritance;B) dependencies ;C) loops;D) memory;2
13;49;Adding Maven to project means:;A) rewriting code;B) adding dependency system ;C) deleting classes;D) changing JVM;2
13;50;Dependency in Java is:;A) variable;B) external library ;C) loop;D) class method;2
13;51;Without Maven you must:;A) manually manage jars ;B) ignore dependencies;C) delete libraries;D) use interface only;1
13;52;Maven builds project using:;A) runtime;B) lifecycle phases ;C) loops;D) inheritance;2
14;53;Object reference change affects:;A) original object;B) reference only ;C) JVM;D) class file;2
14;54;Two references can point to:;A) same object ;B) different JVM;C) different class loader always;D) interface only;1
14;55;Null reference means:;A) object exists;B) no object ;C) interface;D) memory leak always;2
14;56;Stack overflow happens due to:;A) loops;B) infinite recursion ;C) arrays;D) interfaces;2
15;57;Best OOP design principle:;A) tight coupling;B) loose coupling ;C) no structure;D) global variables;2
15;58;Java is:;A) procedural only;B) object-oriented ;C) markup language;D) database;2
15;59;Main benefit of OOP:;A) slower code;B) reuse and structure ;C) more memory usage always;D) no compilation;2
15;60;Maven improves:;A) code logic;B) project management ;C) JVM speed;D) inheritance;2
